"","pol","Value","percentage_variable","percentage_homog","selection","Row","percentage_histocont_displimit","percentage_eco_drift","percentage_homog_disp","noselection","noselection_ok","percentage_histocont_displimit_ok","percentage_eco_drift_ok","percentage_homog_disp_ok","total"
"1","1_d",-0.355274128171096,0,0,0,4.66666666666667,100,0,0,100,100,100,0,0,100
"2","2_d",-1.11235990843385,0,0,0,4.66666666666667,100,0,0,100,100,100,0,0,100
"3","3_d",-0.354833330014176,0,0,0,4.66666666666667,100,0,0,100,100,100,0,0,100
"4","4_d",-0.757815450334387,0,0,0,4.66666666666667,100,0,0,100,100,100,0,0,100
"5","5_d",-0.237709579234108,0,0,0,4.66666666666667,100,0,0,100,100,100,0,0,100
"6","6_d",-0.611170798252856,0,0,0,4.66666666666667,100,0,0,100,100,100,0,0,100
"7","1_r",0.350476009972611,13.3333333333333,0,13.3333333333333,4.66666666666667,93.3333333333333,6.66666666666667,0,100,86.6666666666667,80.8888888888889,5.77777777777778,0,100
"8","2_r",-0.555004854512295,0,13.3333333333333,13.3333333333333,4.66666666666667,93.3333333333333,6.66666666666667,0,100,86.6666666666667,80.8888888888889,5.77777777777778,0,100
"9","3_r",-0.00370723086087617,0,0,0,4.66666666666667,93.3333333333333,6.66666666666667,0,100,100,93.3333333333333,6.66666666666667,0,100
"10","4_r",-1.30997230995486,0,13.3333333333333,13.3333333333333,4.66666666666667,100,0,0,100,86.6666666666667,86.6666666666667,0,0,100
"11","5_r",-0.952464173087089,0,0,0,4.66666666666667,100,0,0,100,100,100,0,0,100
"12","6_r",-0.554180673451034,0,0,0,4.66666666666667,93.3333333333333,6.66666666666667,0,100,100,93.3333333333333,6.66666666666667,0,100
