pol,Sitio,Transecto,place,Latitude,Longitude,Site,Names,Type
1,1,1,Tetlanohcan 1,19.24574502481,-98.1094307678951,1,1. Tetlanohcan 1,Conifers
1,1,2,Tetlanohcan 1,19.2458453547352,-98.1091618452862,1,1. Tetlanohcan 1,Conifers
1,1,3,Tetlanohcan 1,19.247750302398,-98.1122965624818,1,1. Tetlanohcan 1,Conifers
1,2,1,Tetlanohcan 2,19.2468002984009,-98.0935459557357,2,2. Tetlanohcan 2,Broadleaf
1,2,2,Tetlanohcan 2,19.2458067765059,-98.0944191336459,2,2. Tetlanohcan 2,Broadleaf
1,2,3,Tetlanohcan 2,19.2485490102162,-98.0934691336459,2,2. Tetlanohcan 2,Broadleaf
2,1,1,La Ascención Huitzcolotepec,19.3673821777135,-98.2323308722688,3,3. La Ascención Huitzcolotepec,Broadleaf
2,1,2,La Ascención Huitzcolotepec,19.3669703391605,-98.2329059741205,3,3. La Ascención Huitzcolotepec,Broadleaf
2,1,3,La Ascención Huitzcolotepec,19.3662952353563,-98.2335582011048,3,3. La Ascención Huitzcolotepec,Broadleaf
2,2,1,Tepeticpac,19.3632363362035,-98.2459654894644,4,4. Tepeticpac,Broadleaf
2,2,2,Tepeticpac,19.3637619378745,-98.2467511164486,4,4. Tepeticpac,Broadleaf
2,2,3,Tepeticpac,19.3625220611271,-98.2465963587767,4,4. Tepeticpac,Broadleaf
3,1,1,El Carmen Las Carrozas,19.4544451475367,-98.3551011164474,5,5. El Carmen Las Carrozas,Broadleaf
3,1,2,El Carmen Las Carrozas,19.4552826604517,-98.3546725741192,5,5. El Carmen Las Carrozas,Broadleaf
3,1,3,El Carmen Las Carrozas,19.4524892480339,-98.3557511164474,5,5. El Carmen Las Carrozas,Broadleaf
3,2,1,La Caridad,19.4213505928054,-98.3606452452838,6,6. La Caridad,Broadleaf
3,2,2,La Caridad,19.4219089349816,-98.360291601104,6,6. La Caridad,Broadleaf
3,2,3,La Caridad,19.4224547062816,-98.360830872268,6,6. La Caridad,Broadleaf
4,1,1,Tandi-Chala,19.4715566995795,-98.4770757115527,7,7. Tandi-Chala,Broadleaf
4,1,2,Tandi-Chala,19.4711462834685,-98.4757858336427,7,7. Tandi-Chala,Broadleaf
4,1,3,Tandi-Chala,19.4696892244171,-98.4732143759707,7,7. Tandi-Chala,Broadleaf
4,2,1,San Francisco Mitepec,19.457765376409,-98.4601011164473,8,8. San Francisco Mitepec,Conifers-Broadleaf
4,2,2,San Francisco Mitepec,19.4565528909765,-98.4603952452833,8,8. San Francisco Mitepec,Conifers-Broadleaf
4,2,3,San Francisco Mitepec,19.4562921942504,-98.459947675971,8,8. San Francisco Mitepec,Conifers-Broadleaf
5,1,1,"Piedra Canteada de San Felipe, Hidalgo",19.4548338239313,-98.6005452452833,9,"9. Piedra Canteada de San Felipe, Hidalgo",Conifers-Broadleaf
5,1,2,"Piedra Canteada de San Felipe, Hidalgo",19.4569297065399,-98.599026218299,9,"9. Piedra Canteada de San Felipe, Hidalgo",Conifers-Broadleaf
5,1,3,"Piedra Canteada de San Felipe, Hidalgo",19.4568624258782,-98.5968523299394,9,"9. Piedra Canteada de San Felipe, Hidalgo",Conifers-Broadleaf
5,2,1,Paraje El Madroño,19.477318409814,-98.5875023299391,10,10. Paraje El Madroño,Broadleaf
5,2,2,Paraje El Madroño,19.4770118249931,-98.5889249011032,10,10. Paraje El Madroño,Broadleaf
5,2,3,Paraje El Madroño,19.477042169636,-98.589884516447,10,10. Paraje El Madroño,Broadleaf
6,1,1,Ejido San Gabriel,19.2603591254306,-98.6210000029579,11,11. Ejido San Gabriel,Conifers
6,1,2,Ejido San Gabriel,19.2600097676981,-98.6192856299422,11,11. Ejido San Gabriel,Conifers
6,1,3,Ejido San Gabriel,19.2590548279751,-98.621105974122,11,11. Ejido San Gabriel,Conifers
6,2,1,San Rafael Ixtapalucan 2,19.2764668527123,-98.6107011164499,12,12. San Rafael Ixtapalucan 2,Conifers
6,2,2,San Rafael Ixtapalucan 2,19.275922789312,-98.6103452452858,12,12. San Rafael Ixtapalucan 2,Conifers
6,2,3,San Rafael Ixtapalucan 2,19.2768829153352,-98.6100059741218,12,12. San Rafael Ixtapalucan 2,Conifers
